corpus,module,path,node_type,description
ietf,ietf-network,/networks,container,Serves as a top-level container for a list of networks.
ietf,ietf-network,/networks/network,list,"Describes a network. A network typically contains an inventory of nodes, topological information (augmented through the network-topology data model), and layering information."
ietf,ietf-network,/networks/network/network-id,leaf,Identifies a network.
ietf,ietf-network,/networks/network/network-types,container,Serves as an augmentation target. The network type is indicated through corresponding presence containers augmented into this container.
ietf,ietf-te-topology,/networks/network/network-types/te-topology,container,Its presence identifies the TE topology type.
ietf,ietf-otn-topology,/networks/network/network-types/te-topology/otn-topology,container,OTN topology type
ietf,ietf-network,/networks/network/supporting-network,list,"An underlay network, used to represent layered network topologies."
ietf,ietf-network,/networks/network/supporting-network/network-ref,leaf,References the underlay network.
ietf,ietf-network,/networks/network/node,list,The inventory of nodes of this network.
ietf,ietf-network,/networks/network/node/node-id,leaf,Uniquely identifies a node within the containing network.
ietf,ietf-network,/networks/network/node/supporting-node,list,Represents another node that is in an underlay network and that supports this node. Used to represent layering structure.
ietf,ietf-network,/networks/network/node/supporting-node/network-ref,leaf,References the underlay network of which the underlay node is a part.
ietf,ietf-network,/networks/network/node/supporting-node/node-ref,leaf,References the underlay node itself.
ietf,ietf-network-topology,/networks/network/node/termination-point,list,"A termination point can terminate a link. Depending on the type of topology, a termination point could, for example, refer to a port or an interface."
ietf,ietf-network-topology,/networks/network/node/termination-point/tp-id,leaf,Termination point identifier.
ietf,ietf-network-topology,/networks/network/node/termination-point/supporting-termination-point,list,"This list identifies any termination points on which a given termination point depends or onto which it maps. Those termination points will themselves be contained in a supporting node. This dependency information can be inferred from the dependencies between links. Therefore, this item is not separately configurable. Hence, no corresponding constraint needs to be articulated. The corresponding information is simply provided by the implementing system."
ietf,ietf-network-topology,/networks/network/node/termination-point/supporting-termination-point/network-ref,leaf,This leaf identifies in which topology the supporting termination point is present.
ietf,ietf-network-topology,/networks/network/node/termination-point/supporting-termination-point/node-ref,leaf,This leaf identifies in which node the supporting termination point is present.
ietf,ietf-network-topology,/networks/network/node/termination-point/supporting-termination-point/tp-ref,leaf,Reference to the underlay node (the underlay node must be in a different topology).
ietf,ietf-te-topology,/networks/network/node/termination-point/te-tp-id,leaf,An identifier that uniquely identifies a TE termination point.
ietf,ietf-te-topology,/networks/network/node/termination-point/te,container,Indicates TE support.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/admin-status,leaf,The administrative state of the LTP.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/name,leaf,A descriptive name for the LTP.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/interface-switching-capability,list,List of ISCDs for this link.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/interface-switching-capability/switching-capability,leaf,Switching capability for this interface.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/interface-switching-capability/encoding,leaf,Encoding supported by this interface.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/interface-switching-capability/max-lsp-bandwidth,list,Maximum Label Switched Path (LSP) bandwidth at priorities 0-7.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/interface-switching-capability/max-lsp-bandwidth/priority,leaf,Priority.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/interface-switching-capability/max-lsp-bandwidth/te-bandwidth,container,Container that specifies TE bandwidth. The choices can be augmented for specific data-plane technologies.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/interface-switching-capability/max-lsp-bandwidth/te-bandwidth/technology,choice,Data-plane technology type.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/interface-switching-capability/max-lsp-bandwidth/te-bandwidth/technology/generic,leaf,Bandwidth specified in a generic format.
ietf,ietf-otn-topology,/networks/network/node/termination-point/te/interface-switching-capability/max-lsp-bandwidth/te-bandwidth/technology/otn-bandwidth,container,Maximum bandwidth attributes for OTN paths.
ietf,ietf-otn-topology,/networks/network/node/termination-point/te/interface-switching-capability/max-lsp-bandwidth/te-bandwidth/technology/otn-bandwidth/odu-type,leaf,ODU type.
ietf,ietf-otn-topology,/networks/network/node/termination-point/te/interface-switching-capability/max-lsp-bandwidth/te-bandwidth/technology/otn-bandwidth/max-ts-number,leaf,The maximum number of Tributary Slots (TS) that could be used by an ODUflex LSP.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/inter-domain-plug-id,leaf,A network-wide unique number that identifies on the network a connection that supports a given inter-domain TE link. This is a more flexible alternative to specifying 'remote-te-node-id' and 'remote-te-link-tp-id' on a TE link when the provider either does not know 'remote-te-node-id' and 'remote-te-link-tp-id' or needs to give the client the flexibility to mix and match multiple topologies.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/inter-layer-lock-id,leaf-list,"Inter-layer lock ID, used for path computation in a TE topology covering multiple layers or multiple regions."
ietf,ietf-te-topology,/networks/network/node/termination-point/te/oper-status,leaf,The current operational state of the LTP.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/geolocation,container,Contains a GPS location.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/geolocation/altitude,leaf,Distance above sea level.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/geolocation/latitude,leaf,Relative position north or south on the Earth's surface.
ietf,ietf-te-topology,/networks/network/node/termination-point/te/geolocation/longitude,leaf,Angular distance east or west on the Earth's surface.
ietf,ietf-otn-topology,/networks/network/node/termination-point/te/otn-link-tp,container,Attributes of the OTN Link Termination Point (LTP).
ietf,ietf-otn-topology,/networks/network/node/termination-point/te/otn-link-tp/odtu-flex-type,leaf,The type of Optical Data Tributary Unit (ODTU) whose nominal bitrate is used to compute the number of Tributary Slots (TS) required by the ODUflex LSPs set up on this OTN Link Termination Point (LTP).
ietf,ietf-otn-topology,/networks/network/node/termination-point/te/client-svc,container,OTN LTP Service attributes.
ietf,ietf-otn-topology,/networks/network/node/termination-point/te/client-svc/supported-client-signal,leaf-list,List of client signal types supported by the LTP.
ietf,ietf-te-topology,/networks/network/node/te-node-id,leaf,The identifier of a node in the TE topology. A node is specific to a topology to which it belongs.
ietf,ietf-te-topology,/networks/network/node/te,container,Indicates TE support.
ietf,ietf-te-topology,/networks/network/node/te/te-node-template,leaf-list,The reference to a TE node template.
ietf,ietf-te-topology,/networks/network/node/te/te-node-attributes,container,Contains node attributes in a TE topology.
ietf,ietf-te-topology,/networks/network/node/te/te-node-attributes/admin-status,leaf,The administrative state of the link.
ietf,ietf-te-topology,/networks/network/node/te/te-node-attributes/connectivity-matrices,container,Contains a connectivity matrix on a TE node.
ietf,ietf-te-topology,/networks/network/node/te/te-node-attributes/connectivity-matrices/number-of-entries,leaf,"The number of connectivity matrix entries. If this number is specified in the configuration request, the number is the requested number of entries, which may not all be listed in the list; if this number is reported in the state data, the number is the current number of operational entries."
ietf,ietf-te-topology,/networks/network/node/te/te-node-attributes/connectivity-matrices/label-restrictions,container,The label restrictions container.
